date,market_id,category,commodity,commodity_id,unit,pricetype,currency,price,usdprice,market,admin1,admin2,latitude,longitude
5/15/2006,361,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,36.16,0.35,Batticaloa,Eastern,Batticaloa,7.72,81.7
5/15/2006,361,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,31.6,0.31,Batticaloa,Eastern,Batticaloa,7.72,81.7
5/15/2006,366,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,29.6,0.29,Trincomalee,Eastern,Trincomalee,8.57,81.23
5/15/2006,366,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,29.75,0.29,Trincomalee,Eastern,Trincomalee,8.57,81.23
5/15/2006,362,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,31.75,0.31,Jaffna,Northern,Jaffna,9.66,80.01
5/15/2006,362,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,34,0.33,Jaffna,Northern,Jaffna,9.66,80.01
5/15/2006,363,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,27.5,0.27,Kilinochchi,Northern,Kilinochchi,9.4,80.4
5/15/2006,363,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,34.5,0.34,Kilinochchi,Northern,Kilinochchi,9.4,80.4
5/15/2006,364,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,30,0.29,Mannar,Northern,Mannar,8.98,79.9
5/15/2006,365,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,28,0.27,Mulaitivu,Northern,Mullattivu,9.27,80.81
5/15/2006,365,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,36,0.35,Mulaitivu,Northern,Mullattivu,9.27,80.81
5/15/2006,367,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,29.5,0.29,Vavuniya,Northern,Vavuniya,8.75,80.5
5/15/2006,367,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,32.5,0.32,Vavuniya,Northern,Vavuniya,8.75,80.5
5/15/2006,368,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,30.77,0.3,Colombo City,Western,Colombo,6.93,79.85
5/15/2006,368,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,33.88,0.33,Colombo City,Western,Colombo,6.93,79.85
6/15/2006,360,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,26.5,0.26,Ampara,Eastern,Ampara,7.28,81.67
6/15/2006,360,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,36.5,0.35,Ampara,Eastern,Ampara,7.28,81.67
6/15/2006,361,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,34.66,0.33,Batticaloa,Eastern,Batticaloa,7.72,81.7
6/15/2006,361,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,33,0.32,Batticaloa,Eastern,Batticaloa,7.72,81.7
6/15/2006,366,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,30.5,0.29,Trincomalee,Eastern,Trincomalee,8.57,81.23
6/15/2006,366,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,32,0.31,Trincomalee,Eastern,Trincomalee,8.57,81.23
6/15/2006,362,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,31,0.3,Jaffna,Northern,Jaffna,9.66,80.01
6/15/2006,362,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,34.5,0.33,Jaffna,Northern,Jaffna,9.66,80.01
6/15/2006,363,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,29,0.28,Kilinochchi,Northern,Kilinochchi,9.4,80.4
6/15/2006,363,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,35,0.34,Kilinochchi,Northern,Kilinochchi,9.4,80.4
6/15/2006,364,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,30.5,0.29,Mannar,Northern,Mannar,8.98,79.9
6/15/2006,365,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,32,0.31,Mulaitivu,Northern,Mullattivu,9.27,80.81
6/15/2006,365,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,42,0.41,Mulaitivu,Northern,Mullattivu,9.27,80.81
6/15/2006,367,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,30,0.29,Vavuniya,Northern,Vavuniya,8.75,80.5
6/15/2006,367,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,33.5,0.32,Vavuniya,Northern,Vavuniya,8.75,80.5
6/15/2006,368,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,30.53,0.29,Colombo City,Western,Colombo,6.93,79.85
6/15/2006,368,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,34.26,0.33,Colombo City,Western,Colombo,6.93,79.85
7/15/2006,360,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,22.5,0.22,Ampara,Eastern,Ampara,7.28,81.67
7/15/2006,360,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,35,0.34,Ampara,Eastern,Ampara,7.28,81.67
7/15/2006,361,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,41.65,0.4,Batticaloa,Eastern,Batticaloa,7.72,81.7
7/15/2006,361,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,32.3,0.31,Batticaloa,Eastern,Batticaloa,7.72,81.7
7/15/2006,366,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,30.62,0.29,Trincomalee,Eastern,Trincomalee,8.57,81.23
7/15/2006,366,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,31.5,0.3,Trincomalee,Eastern,Trincomalee,8.57,81.23
7/15/2006,362,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,35,0.34,Jaffna,Northern,Jaffna,9.66,80.01
7/15/2006,362,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,35.5,0.34,Jaffna,Northern,Jaffna,9.66,80.01
7/15/2006,363,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,31.5,0.3,Kilinochchi,Northern,Kilinochchi,9.4,80.4
7/15/2006,363,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,35,0.34,Kilinochchi,Northern,Kilinochchi,9.4,80.4
7/15/2006,364,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,31.5,0.3,Mannar,Northern,Mannar,8.98,79.9
7/15/2006,365,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,30.5,0.29,Mulaitivu,Northern,Mullattivu,9.27,80.81
7/15/2006,365,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,35,0.34,Mulaitivu,Northern,Mullattivu,9.27,80.81
7/15/2006,367,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,30,0.29,Vavuniya,Northern,Vavuniya,8.75,80.5
7/15/2006,367,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,33,0.32,Vavuniya,Northern,Vavuniya,8.75,80.5
7/15/2006,368,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,31.07,0.3,Colombo City,Western,Colombo,6.93,79.85
7/15/2006,368,Cereals And Tubers,Rice (White),133,KG,Retail,LKR,30.25,0.29,Colombo City,Western,Colombo,6.93,79.85
7/15/2006,368,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,33.87,0.33,Colombo City,Western,Colombo,6.93,79.85
8/15/2006,360,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,32,0.31,Ampara,Eastern,Ampara,7.28,81.67
8/15/2006,360,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,35,0.34,Ampara,Eastern,Ampara,7.28,81.67
8/15/2006,361,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,33.66,0.32,Batticaloa,Eastern,Batticaloa,7.72,81.7
8/15/2006,361,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,31.3,0.3,Batticaloa,Eastern,Batticaloa,7.72,81.7
8/15/2006,366,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,30.75,0.3,Trincomalee,Eastern,Trincomalee,8.57,81.23
8/15/2006,366,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,35.5,0.34,Trincomalee,Eastern,Trincomalee,8.57,81.23
8/15/2006,362,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,41,0.39,Jaffna,Northern,Jaffna,9.66,80.01
8/15/2006,362,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,39,0.38,Jaffna,Northern,Jaffna,9.66,80.01
8/15/2006,363,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,32,0.31,Kilinochchi,Northern,Kilinochchi,9.4,80.4
8/15/2006,363,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,57.5,0.55,Kilinochchi,Northern,Kilinochchi,9.4,80.4
8/15/2006,364,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,31.5,0.3,Mannar,Northern,Mannar,8.98,79.9
8/15/2006,364,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,35,0.34,Mannar,Northern,Mannar,8.98,79.9
8/15/2006,365,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,37.5,0.36,Mulaitivu,Northern,Mullattivu,9.27,80.81
8/15/2006,367,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,31.5,0.3,Vavuniya,Northern,Vavuniya,8.75,80.5
